psmiles,value
*C(C*)c1ccc(cc1)N(c1ccccc1)c1ccccc1,333
*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC(CC)C)c1ccc(cc1)C(=O)OC(CC)C,331.7
*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC(CCCCCC)C)c1ccc(cc1)C(=O)OC(CCCCCC)C,324.6
*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC1C(CCC(C1)C)C(C)C)c1ccc(cc1)C(=O)OC1C(CCC(C1)C)C(C)C,319
*C(C*)c1c(ccc(c1)C(=O)OC)c1ccc(cc1)OCCCCCCCC,392
*C(C*)c1c(ccc(c1)C(=O)OCC)c1ccc(cc1)OCCCCCCCC,381
*C(C*)c1c(ccc(c1)C(=O)OCCCC)c1ccc(cc1)OCCCCCCCC,388
*C(C*)c1c(ccc(c1)C(=O)OCCCCCC)c1ccc(cc1)OCCCCCCCC,396
*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCC)c1ccc(cc1)OCCCCCCCC,369
*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCCCC)c1ccc(cc1)OCCCCCCCC,369
*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCCCCCC)c1ccc(cc1)OCCCCCCCC,392
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCC)C(=O)Oc1ccc(cc1)OCC,398
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCC,391
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCC,418
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCC,416
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCC,418
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCC,424
