n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
2,O=C(O)C1CCCC(C(=O)O)C1,OCCCCCCO,,,,,,0.5,0.5,,,,,,-28.0
2,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,91.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1499,0.3498,0.2279,0.005,0.2674,,,29.34
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1495,0.251,0.0995,0.237,0.258,0.005,,33.51
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,0.0255,0.338,0.1365,0.468,0.032,,,55.58
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.19,0.0195,0.2905,,,,49.05
2,O=C(O)c1cccc(C(=O)O)c1,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,78.0
2,O=C(O)C1CCCCC1C(=O)O,OCCOCCO,,,,,,0.5,0.5,,,,,,-3.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.426,0.074,0.2245,0.223,0.002,0.0505,,90.3
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-40.86
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.153,0.249,0.098,0.2955,0.2005,0.004,,81.65
4,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,,0.351,0.149,0.464,0.036,,,,65.55
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.071,0.429,0.1935,0.0195,0.287,,,38.12
7,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,OCC1CC2C3CC(CO)C(C3)C2C1,0.0235,0.2321,0.2446,0.2501,0.015,0.049,0.1856,102.4
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1555,0.2475,0.097,0.2385,0.257,0.0045,,45.99
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.1445,0.096,0.0165,0.243,,,63.89
5,O=C(O)CCCCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.075,0.26,0.165,0.38,0.12,,,41.1
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.145,0.355,0.2295,0.0125,0.258,,,33.26
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.3512,0.1491,0.1966,0.1966,0.0035,0.1031,,88.6
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,0.3555,0.1445,0.197,0.198,0.105,,,91.6
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.026,0.3375,0.1365,0.192,0.2255,0.033,0.0495,80.2
2,O=C(O)CCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-23.0
